,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X1.1,X2.1,X3.1,X4.1,X5.1,X6.1,X7.1,X8.1,X9.1,X10.1,X11.1,X12.1
1,-0.001318811,-0.001318811,NA,-0.003116481,-0.000916684,-0.000916684,-0.000916684,-0.000292744,-0.000292744,-0.001596382,-0.001596382,-0.001596382,1.95785026,1.95785026,1.224353408,3.480973869,1.657683308,1.657683308,1.657683308,1.273478639,1.273478639,1.924874052,1.924874052,1.924874052
2,-0.000282889,-0.000282889,-0.000680919,-0.000982289,-0.000982289,-0.000982289,-0.000982289,-0.000816267,-0.000816267,-0.000633689,-0.000633689,-0.000633689,1.743453046,1.743453046,2.439064592,1.995621525,1.995621525,1.995621525,1.995621525,2.071704631,2.071704631,2.43848814,2.43848814,2.43848814
3,0.005968494,-0.003651515,-0.003651515,-0.001206845,-0.001206845,-0.000413944,-0.001983206,-0.001983206,-0.001983206,-0.001983206,-0.004174806,-0.004174806,1.004541953,3.077565,3.077565,1.804975772,1.804975772,1.405085346,2.067629879,2.067629879,2.067629879,2.067629879,3.032128475,3.032128475
4,-0.002145329,-0.002145329,-0.000478683,-0.00065744,-0.000389577,-0.002250978,-0.002250978,-0.002250978,-0.00087509,-0.003742598,-0.000696385,-0.001105591,2.67585972,2.67585972,1.905210414,1.885064137,1.569882111,2.688942562,2.688942562,2.688942562,2.058290719,2.881629245,2.097581833,2.076228345
5,-0.000419629,-0.000419629,-0.000681236,-0.001516628,-0.000356284,-0.000284384,-0.006816188,-0.006816188,-0.006816188,-0.00052083,-0.0065583,-0.004094694,1.31932007,1.31932007,1.513446415,1.813725812,1.266454159,1.159278445,3.006335392,3.006335392,3.006335392,1.360885543,2.824449078,2.569030992
6,-0.015007884,-0.006817897,-0.005085227,-0.002935985,-0.004090423,-0.002202744,-0.01227195,-0.005453903,-0.002233574,-0.004938927,-0.006326737,-0.009183649,3.087453454,2.43843134,2.25818933,1.878131866,2.067210677,1.708716425,3.053316504,2.37833537,1.809430102,2.317653862,2.484829703,2.84564139
7,-0.002187785,-0.000457031,-0.001091782,-0.004932947,-0.003791661,-0.010453029,-0.00467804,-0.00467804,-0.015337601,-0.002966245,-0.006197814,-0.003743406,2.011550858,1.260691505,1.566665492,2.527907685,2.293706822,3.132145213,2.512915249,2.512915249,3.558978411,2.191060792,2.734911546,2.305604995
